vehicle_id,route_id,timestamp,latitude,longitude,speed_kmh,heading,status
VH_011,Route_A,2026-05-26 06:00:00,,,-8.8,52,
VH_001,Route_A,2026-05-26 06:03:00,6.458991,3.341573,47.1,287,in_service
VH_012,Route_E,2026-05-26 06:06:00,6.511123,3.371889,24.5,3,in_service
VH_012,Route_D,2026-05-26 06:09:00,6.49844,3.330767,72.0,172,in_service
VH_002,Route_D,2026-05-26 06:12:00,6.459475,3.427649,47.3,22,out_of_service
VH_009,Route_A,2026-05-26 06:15:00,6.599699,3.361995,43.6,321,in_service
VH_010,Route_B,2026-05-26 06:18:00,6.556731,3.315415,21.0,148,in_service
VH_014,Route_B,2026-05-26 06:21:00,6.582637,3.362218,36.7,186,in_service
VH_006,Route_C,2026-05-26 06:24:00,6.477521,3.346377,70.6,331,in_service
VH_010,Route_B,2026-05-26 06:27:00,6.529462,3.343274,37.4,138,in_service
VH_011,Route_C,2026-05-26 06:30:00,6.578856,3.41764,21.0,16,in_service
VH_007,Route_C,2026-05-26 06:33:00,6.45459,3.436839,44.7,161,in_service
VH_011,Route_D,2026-05-26 06:36:00,6.507301,3.437037,37.1,135,in_service
VH_004,Route_E,2026-05-26 06:39:00,6.530236,3.413582,35.0,298,out_of_service
VH_006,Route_B,2026-05-26 06:42:00,6.603572,3.328366,39.5,24,in_service
VH_003,Route_B,2026-05-26 06:45:00,6.570733,3.368102,9.4,195,out_of_service
VH_009,Route_C,2026-05-26 06:48:00,6.599373,3.429509,5.8,58,in_service
VH_013,Route_C,2026-05-26 06:51:00,6.461848,3.369867,36.8,134,in_service
VH_009,Route_A,2026-05-26 06:54:00,6.583283,3.350782,49.7,311,in_service
VH_003,Route_C,2026-05-26 06:57:00,6.566002,3.384513,59.5,271,in_service
VH_010,Route_C,2026-05-26 07:00:00,,,30.4,157,in_service
VH_001,Route_B,2026-05-26 07:03:00,6.584482,3.441573,11.0,248,in_service
VH_013,Route_E,2026-05-26 07:06:00,6.566534,3.326975,38.3,281,in_service
VH_005,Route_E,2026-05-26 07:09:00,6.583589,3.368239,19.8,276,in_service
VH_012,Route_C,2026-05-26 07:12:00,6.507839,3.403036,31.1,264,out_of_service
VH_002,Route_B,2026-05-26 07:15:00,6.479952,3.356332,46.2,117,in_service
VH_001,Route_A,2026-05-26 07:18:00,6.557255,3.317242,9.7,16,in_service
VH_002,Route_E,2026-05-26 07:21:00,6.482081,3.402657,20.0,67,out_of_service
VH_004,Route_D,2026-05-26 07:24:00,6.5732,3.335657,11.8,220,in_service
VH_007,Route_D,2026-05-26 07:27:00,6.518724,3.411071,52.1,330,in_service
VH_001,Route_D,2026-05-26 07:30:00,6.560514,3.421083,12.6,98,in_service
VH_009,Route_D,2026-05-26 07:33:00,6.466429,3.334688,37.4,38,out_of_service
VH_013,Route_E,2026-05-26 07:36:00,6.459665,3.4003,42.8,7,in_service
VH_015,Route_B,2026-05-26 07:39:00,6.47061,3.37699,20.0,205,in_service
VH_003,Route_D,2026-05-26 07:42:00,6.444345,3.363659,69.9,232,in_service
VH_007,Route_E,2026-05-26 07:45:00,6.549899,3.377134,-9.0,111,in_service
VH_009,Route_A,2026-05-26 07:48:00,6.563676,3.317003,45.9,257,in_service
VH_001,Route_E,2026-05-26 07:51:00,6.456818,3.335015,46.7,345,in_service
VH_007,Route_A,2026-05-26 07:54:00,6.594655,3.388755,45.5,20,in_service
VH_007,Route_E,2026-05-26 07:57:00,6.534436,3.353292,23.3,342,in_service
VH_004,Route_C,2026-05-26 08:00:00,,,26.0,161,in_service
VH_001,Route_D,2026-05-26 08:03:00,6.543385,3.387819,12.0,275,in_service
VH_009,Route_C,2026-05-26 08:06:00,6.465193,3.357861,9.8,125,in_service
VH_005,Route_B,2026-05-26 08:09:00,6.51411,3.385051,26.2,334,in_service
VH_011,Route_E,2026-05-26 08:12:00,6.491901,3.401874,70.7,68,in_service
VH_002,Route_A,2026-05-26 08:15:00,6.562787,3.330763,24.7,107,in_service
VH_004,Route_C,2026-05-26 08:18:00,6.524865,3.344157,68.6,26,in_service
VH_011,Route_D,2026-05-26 08:21:00,6.576696,3.315172,28.3,66,in_service
VH_003,Route_D,2026-05-26 08:24:00,6.532269,3.368876,5.7,38,in_service
VH_009,Route_A,2026-05-26 08:27:00,6.577535,3.390551,15.4,65,in_service
VH_005,Route_C,2026-05-26 08:30:00,6.587837,3.420457,65.2,183,
VH_011,Route_B,2026-05-26 08:33:00,6.550709,3.358515,44.2,208,in_service
VH_015,Route_B,2026-05-26 08:36:00,6.582337,3.445669,61.8,211,in_service
VH_003,Route_C,2026-05-26 08:39:00,6.569182,3.36664,51.9,127,in_service
VH_003,Route_A,2026-05-26 08:42:00,6.505207,3.314421,37.9,102,out_of_service
VH_006,Route_C,2026-05-26 08:45:00,6.575286,3.430985,20.6,337,in_service
