reading_id,station,timestamp,condition,temperature_c,humidity_pct,wind_speed_kmh,rainfall_mm
WTH_0001,Ikeja,2026-05-26 06:00:00,,,133,17.1,-2.8
WTH_0002,Surulere,2026-05-26 06:00:00,Clear,25.5,76,16.0,0.0
WTH_0003,Yaba,2026-05-26 06:00:00,Clear,29.1,69,25.3,0.0
WTH_0004,Lekki,2026-05-26 06:00:00,Foggy,33.0,63,20.2,0.0
WTH_0005,Surulere,2026-05-26 06:00:00,Clear,27.8,54,18.9,0.0
WTH_0006,Ikeja,2026-05-26 07:00:00,Clear,34.8,80,1.1,0.0
WTH_0007,Lagos_Island,2026-05-26 07:00:00,Foggy,32.5,76,13.1,0.0
WTH_0008,Surulere,2026-05-26 07:00:00,Foggy,33.6,74,13.1,0.0
WTH_0009,Lagos_Island,2026-05-26 07:00:00,Stormy,31.2,72,4.2,14.9
WTH_0010,Yaba,2026-05-26 07:00:00,Foggy,25.4,64,29.2,0.0
WTH_0011,Lekki,2026-05-26 08:00:00,Clear,29.1,84,14.8,0.0
WTH_0012,Lagos_Island,2026-05-26 08:00:00,Foggy,26.7,72,5.4,0.0
WTH_0013,Ikeja,2026-05-26 08:00:00,Cloudy,24.4,76,21.5,0.0
WTH_0014,Lagos_Island,2026-05-26 08:00:00,Clear,26.3,56,20.8,0.0
WTH_0015,Yaba,2026-05-26 08:00:00,Foggy,31.4,53,8.6,0.0
WTH_0016,Surulere,2026-05-26 09:00:00,Clear,,84,7.6,0.0
WTH_0017,Lagos_Island,2026-05-26 09:00:00,Clear,29.5,68,8.2,0.0
WTH_0018,Lekki,2026-05-26 09:00:00,Stormy,30.4,70,8.3,13.1
WTH_0019,Lagos_Island,2026-05-26 09:00:00,Stormy,28.5,67,2.1,14.2
WTH_0020,Surulere,2026-05-26 09:00:00,Cloudy,30.1,53,34.0,0.0
WTH_0021,Yaba,2026-05-26 10:00:00,Foggy,27.5,76,14.3,0.0
WTH_0022,Surulere,2026-05-26 10:00:00,Rainy,26.0,84,16.6,12.7
WTH_0023,Lagos_Island,2026-05-26 10:00:00,Rainy,32.9,136,19.7,14.5
WTH_0024,Lagos_Island,2026-05-26 10:00:00,Stormy,28.3,66,7.1,9.7
WTH_0025,Lekki,2026-05-26 10:00:00,Foggy,25.0,62,1.8,0.0
WTH_0026,Yaba,2026-05-26 11:00:00,Foggy,30.6,54,6.6,0.0
WTH_0027,Yaba,2026-05-26 11:00:00,Stormy,26.4,63,30.4,5.0
WTH_0028,Lagos_Island,2026-05-26 11:00:00,Clear,34.3,57,26.1,0.0
WTH_0029,Lagos_Island,2026-05-26 11:00:00,Foggy,31.7,63,13.9,0.0
WTH_0030,Yaba,2026-05-26 11:00:00,Cloudy,27.5,68,13.3,0.0
WTH_0031,Lekki,2026-05-26 12:00:00,Stormy,,73,17.9,7.5
WTH_0032,Surulere,2026-05-26 12:00:00,Clear,32.4,70,32.0,0.0
